angle_deg,torque_nm
0,-2.144850599638454
1,-0.4109960960512608
2,1.377683934799641
3,3.113949747010254
4,4.302481400162763
5,5.117411014805526
6,5.490311316387436
7,5.447877700062121
8,4.318161618904098
9,3.326143090873995
10,2.198393988784673
11,0.7170066265282454
12,-0.2771385391851703
13,-1.104234746680135
14,-2.248133552722664
15,-2.900106790738424
16,-3.490722938338091
17,-3.768840932942822
18,-4.290649970241623
19,-5.009902772968307
20,-4.512335625908367
21,-4.212258715382285
22,-2.925655113578672
23,-1.418821638658389
24,0.244265284503635
25,2.181237589569677
26,3.634148200371646
27,4.866420995911456
28,5.47013199100194
29,5.420612091878057
30,4.946037692639806
31,4.007546343515466
32,2.719204859401483
33,1.403005523919621
34,0.2870836594087395
35,-0.9930914766947233
36,-1.690510451208232
37,-2.043200579093729
38,-3.36366130002443
39,-4.033823391193086
40,-4.288542944480867
41,-4.512364837991292
42,-5.092500934056729
43,-4.42459252328592
44,-3.268672265398303
45,-2.202217628883318
