angle_deg,torque_nm
0,0.6201784277233495
1,-0.4504221968191464
2,-1.352057044774235
3,-2.253901056919236
4,-2.932924117816727
5,-2.996439415261491
6,-3.706869650430644
7,-3.529098194363612
8,-3.871467074624404
9,-3.887606644451739
10,-3.097511396393622
11,-1.832159312370826
12,-0.3349361729706236
13,1.436861756968524
14,3.140535661241262
15,4.098410647278731
16,4.895023775749918
17,4.871336949876854
18,4.643928454463845
19,4.383700281774901
20,3.40261777583961
21,2.422867860917609
22,0.9564375508914619
23,-0.2431956236388942
24,-1.128880926014238
25,-1.87701983140294
26,-2.501694869598313
27,-2.842781061474889
28,-3.514747332336814
29,-3.519343047778312
30,-3.872865771708688
31,-3.652876587297038
32,-3.336782605837826
33,-2.487154717024532
34,-0.9879467960661621
35,0.4244779176800294
36,2.070688001172039
37,3.468905802192215
38,4.377840104753556
39,4.868539651049439
40,4.820558348512224
41,4.387957316419969
42,3.909413405048597
43,2.941390973706441
44,1.715243146085589
45,0.6141875711604561
