angle_deg,torque_nm
0,-1.15217310106622
1,-2.021172980483515
2,-2.914623284910899
3,-3.263173759342474
4,-3.168328699802536
5,-4.140952262029499
6,-3.854966929749816
7,-3.546935735614507
8,-3.477427219799971
9,-2.519241298435373
10,-1.041747944082339
11,0.4215581969654798
12,1.951453241267403
13,3.321157220293284
14,4.44246073741494
15,4.816362108096159
16,5.027615121411482
17,4.413673823541284
18,3.895279312612165
19,2.838754844730431
20,1.535423434625159
21,0.5537065773741123
22,-0.4380471055527902
23,-1.329747042365389
24,-2.096792752588648
25,-2.743950627436657
26,-3.084823255379293
27,-3.606393270932891
28,-3.840910368210396
29,-3.940819272421402
30,-3.924859391138522
31,-2.993188409422519
32,-1.811570219423259
33,-0.3174134372256488
34,1.40677706574284
35,2.984601776318572
36,4.123115065537544
37,4.685237067943921
38,4.746928852748878
39,4.685448358957642
40,4.334933430113162
41,3.618342105219627
42,2.234731417459702
43,0.6858689683183772
44,-0.3712606739696848
45,-1.119023019167605
