angle_deg,torque_nm
0,-2.379551946930552
1,-1.082985719626455
2,0.5368123090632243
3,2.072060501923342
4,3.431328198204016
5,4.561482700694878
6,4.959333840102058
7,5.044163222425373
8,4.316233904960621
9,3.949570713549083
10,2.680010417265474
11,1.634806703971714
12,0.6053568632935655
13,-0.4095901118309273
14,-1.3130440265475
15,-2.415316231769951
16,-2.571618363352394
17,-3.072450673552272
18,-3.708524626780322
19,-3.557385433053141
20,-3.994061657560415
21,-3.884176176615274
22,-3.076905529443145
23,-1.866859469316668
24,-0.209589722536328
25,1.33585712148088
26,2.936707955243651
27,4.206044987089645
28,4.790824136369234
29,4.960438393144952
30,4.635609304558209
31,4.205722649572841
32,3.502192577315329
33,2.265034598567903
34,0.7054294791454484
35,-0.2716622556219629
36,-1.190538708935254
37,-1.813118833055587
38,-2.810585418574168
39,-3.03998959843036
40,-3.52906133118745
41,-3.540168292190042
42,-3.819323764719893
43,-3.685704532826242
44,-3.259005979832535
45,-2.415088778552723
