angle_deg,torque_nm
0,-2.672794889183827
1,-1.597773506617716
2,-0.2630512553597827
3,1.192569339452873
4,2.16575259265198
5,3.282609428461825
6,4.117400732802262
7,4.455055497101826
8,4.136178992751533
9,3.61699892260991
10,2.912797331860603
11,1.786979059571892
12,0.5027165855357552
13,-0.4079099907252863
14,-1.552604495855936
15,-1.757328191637985
16,-2.328424185985959
17,-2.943869373829032
18,-3.092463400402945
19,-3.299041212331722
20,-3.626611828944842
21,-3.503959365068222
22,-2.931345282722361
23,-2.346957069993273
24,-0.9577705800290239
25,0.2509083839724164
26,1.667076723150016
27,2.879480092620494
28,3.707145079070174
29,4.300575822801187
30,4.313633772591201
31,3.959985253569151
32,3.073451556271038
33,2.272996489960768
34,1.487040866738358
35,0.01521100702482893
36,-0.9204663771395658
37,-1.690177814341523
38,-2.103751839104121
39,-2.768081540076037
40,-3.128296723987431
41,-3.160547768167912
42,-3.577392898913565
43,-3.291703535714332
44,-3.154323698353135
45,-2.529049808702264
