angle_deg,torque_nm
0,-2.65987668015119
1,-1.932900985340973
2,-0.7664739217532953
3,0.3852126718177964
4,1.632965169306204
5,2.779621809040949
6,3.665631609279291
7,4.037924411955738
8,4.232528893701705
9,4.027056197142714
10,3.232153076379225
11,2.253128750505193
12,1.15488979101513
13,0.4434872567697438
14,-0.83262489800795
15,-1.626428134637279
16,-2.052918008351249
17,-2.499650814250855
18,-2.712639054629102
19,-3.053110119255812
20,-3.308568164693265
21,-3.178930143762519
22,-2.798863209642565
23,-2.216219173148346
24,-1.345590799957735
25,-0.2182205225016698
26,1.023664688688252
27,2.088207569594586
28,3.181922290444314
29,3.899271060336784
30,4.249494580133603
31,4.184063177997464
32,3.579070311161601
33,2.829023560308283
34,1.800031223338742
35,0.9727084017399859
36,-0.3186866368817019
37,-1.416165074012044
38,-1.82739270091083
39,-2.253028493578204
40,-2.472773664442429
41,-2.864761367668613
42,-3.459346870179707
43,-3.292743142848827
44,-3.198614384744471
45,-2.688256027802693
