angle_deg,torque_nm
0,0.8413871175608694
1,0.09500996655730237
2,-0.7995296575542443
3,-1.017389913805872
4,-1.050242627312911
5,-1.445753744002371
6,-1.765557905801662
7,-1.736803847967562
8,-2.448241388376124
9,-2.236720242149288
10,-2.458016519085243
11,-2.092803022701615
12,-1.572750786614904
13,-0.7628701778486905
14,0.3767111820866826
15,1.341499150281746
16,2.490765182213353
17,3.304287622876929
18,3.482762480412693
19,3.037305483641138
20,2.813938011772197
21,2.44460036227054
22,1.677925064444538
23,0.6477245824339073
24,-0.05633740165172988
25,-0.6888734976904058
26,-0.6415637626668095
27,-0.9526813767213134
28,-1.418989624163602
29,-1.629324461677484
30,-2.129152123524004
31,-2.141895890845476
32,-2.429384700002696
33,-2.461631118867438
34,-1.873205744446878
35,-1.254585253225745
36,-0.7552445666935354
37,0.9207689922140249
38,1.934909266123514
39,3.025079044252315
40,3.633294782694593
41,3.51600592899104
42,3.711065541235734
43,2.718585913869357
44,2.169948922781078
45,0.9550613677608077
