angle_deg,torque_nm
0,3.585386853508232
1,2.660557207235214
2,0.7631116388577527
3,-0.5315863742689458
4,-2.46881539915787
5,-3.38910241114176
6,-4.1770715910947
7,-4.670565716367454
8,-5.108440004289763
9,-5.166003407065816
10,-4.39836184747605
11,-3.725731799092408
12,-2.567445786099797
13,-1.335090446237076
14,0.1968111339886993
15,1.26687683972218
16,2.175540075540465
17,2.856403682468126
18,2.796676172322199
19,2.792984605061545
20,2.145119230371949
21,1.543282281476449
22,0.8201188322371953
23,-0.1223924603800623
24,-0.3400477957678952
25,-0.9573612788037714
26,-0.4836831220473997
27,-1.219500514504173
28,-1.232127008545893
29,-1.335863197934185
30,-1.60610247469777
31,-1.338772743469762
32,-1.729825187540386
33,-1.335801435508111
34,-1.369156202398799
35,-0.7944239345785075
36,0.4451170025629527
37,1.851678797779824
38,3.171256759970028
39,4.067926878850197
40,5.002460061691409
41,5.770092610031799
42,6.38615893686131
43,5.984767078701727
44,5.217250358236655
45,3.626718718418132
