angle_deg,torque_nm
0,2.011872221274892
1,1.404500145461797
2,-0.05672199659620713
3,-0.7093585703354347
4,-1.961821179772498
5,-2.38759541299375
6,-2.756294487525912
7,-3.138874095625055
8,-3.594049255314048
9,-3.739191844257604
10,-3.174087404868366
11,-2.780502647188075
12,-1.866451816095308
13,-0.8128988343526209
14,0.7888014818770713
15,1.967507852582761
16,3.119784210664272
17,4.103716456472209
18,4.437225299487556
19,4.702431581346709
20,4.320150844248124
21,3.724512205876097
22,2.85268242588371
23,1.505911636093254
24,0.8757937211328569
25,-0.5482153258322755
26,-0.8718799051333037
27,-2.264616178130164
28,-2.742957281397875
29,-3.086040219791971
30,-3.502181592136902
31,-3.306262528150391
32,-3.611263480854
33,-2.893665130219499
34,-2.568547177188021
35,-1.643900346181345
36,-0.2350216956656413
37,1.309383925725775
38,2.756515073519184
39,3.547032499969594
40,4.274857981240292
41,4.733060218247456
42,4.933966361996546
43,4.143959403598939
44,3.358495479014949
45,2.050682250442019
