angle_deg,torque_nm
0,1.596837385269017
1,0.4346686579037241
2,-0.7905390829564316
3,-1.838582196714234
4,-1.735982973260316
5,-2.229643512109941
6,-2.793687124033601
7,-3.245316950101902
8,-3.532417842695716
9,-3.890419941739464
10,-4.024327653186908
11,-3.550715503532276
12,-2.31214138627975
13,-1.065647755143002
14,0.6459460439372993
15,2.168195119939513
16,3.550660258380865
17,4.537938767060295
18,5.205569688762124
19,5.111076589540793
20,4.648994736519336
21,3.411494230636382
22,2.406985578383542
23,1.066319737560463
24,-0.1695537655984343
25,-1.161571998424889
26,-1.871022158834616
27,-2.295506884064348
28,-2.849121569626264
29,-3.258413835937037
30,-3.784704602869926
31,-3.770521289833285
32,-4.412366052345973
33,-4.010422934801175
34,-3.02017138261036
35,-2.061690094733933
36,-0.2333759758902169
37,1.616104497457401
38,2.771451924967408
39,4.009272413122677
40,4.718197409480407
41,5.099156248174925
42,4.868004636214672
43,3.902021128718531
44,3.008974131143051
45,1.607546123013306
