angle_deg,torque_nm
0,2.15788530441379
1,1.041355955543957
2,-0.4150035651480357
3,-1.25564809486724
4,-2.370704112671319
5,-3.003519895226558
6,-3.237060782007752
7,-3.647920674402175
8,-4.096314795978596
9,-4.402152645622057
10,-4.06891727538552
11,-3.438745896441567
12,-2.469744622080543
13,-1.22484237261713
14,0.3241049435858794
15,1.766562508495332
16,3.30694599501249
17,4.373573451603532
18,4.940621176654293
19,5.283553850181515
20,4.734870178900254
21,3.632903447255924
22,2.988390573676035
23,1.41869762951276
24,0.1247953213600933
25,-1.00097323572108
26,-1.68329170110918
27,-2.60227094717259
28,-2.76391254270712
29,-3.523249887383293
30,-3.809463613120764
31,-4.207248717688745
32,-4.146161871611348
33,-3.831888575057313
34,-3.076654128649207
35,-1.880807565837998
36,-0.373389318990008
37,1.150891138198978
38,2.680452436069859
39,3.929392411380142
40,4.82980679348178
41,5.266623134368201
42,4.916953992049782
