angle_deg,torque_nm,coil_current_a,active_eml,pulse_on
0,2.063291948524706,14.675426482469122,0,1
1,1.456119924830322,14.675426482469122,0,1
2,-0.08669937582560933,14.675426482469122,0,1
3,-0.747959601429276,0,0,0
4,-1.953816786403878,0,0,0
5,-2.341798074584792,0,0,0
6,-2.74890697732883,0,0,0
7,-3.076931096713396,0,0,0
8,-3.514637485541726,0,0,0
9,-3.67570534978823,0,0,0
10,-3.219551491020868,0,0,0
11,-2.749833970906339,0,0,0
12,-1.876209025766686,0,0,0
13,-0.7691582759087164,0,0,0
14,0.7298988984285814,14.675426482469122,0,1
15,1.942375474532561,14.675426482469122,0,1
16,3.108866016119698,14.675426482469122,0,1
17,4.076859474914071,14.675426482469122,0,1
18,4.411097335152294,14.675426482469122,0,1
19,4.696511369977277,14.675426482469122,0,1
20,4.348355615243784,14.675426482469122,0,1
21,3.672945367678564,14.675426482469122,0,1
22,2.853407605919826,14.675426482469122,0,1
23,1.494796770553034,14.675426482469122,0,1
24,0.8538027629039395,14.675426482469122,0,1
25,-0.5409309736653598,14.675426482469122,0,1
26,-0.8695375106091112,0,0,0
27,-2.180237801011977,0,0,0
28,-2.745245751240045,0,0,0
29,-3.033031580389306,0,0,0
30,-3.592494167547057,0,0,0
31,-3.206801645031256,0,0,0
32,-3.647151665939687,0,0,0
33,-3.041687715031717,0,0,0
34,-2.336836951612907,0,0,0
35,-1.618840480615601,0,1,0
36,-0.2002573823729079,0,1,0
37,1.294193347529449,14.675426482469122,1,1
38,2.733221534436129,14.675426482469122,1,1
39,3.576470722908304,14.675426482469122,1,1
40,4.297112199026818,14.675426482469122,1,1
41,4.721859376474938,14.675426482469122,1,1
42,4.825044557931411,14.675426482469122,1,1
43,4.199170553789211,14.675426482469122,1,1
44,3.428536950771194,14.675426482469122,1,1
45,1.994312122289309,14.675426482469122,0,1
