angle_deg,torque_nm,coil_current_a,active_eml,pulse_on
0,2.050682250442019,3.668856620617281,0,1
1,1.428497353533484,3.668856620617281,0,1
2,-0.1407963927386563,3.668856620617281,0,1
3,-0.7487994233028392,0,0,0
4,-1.955425572637278,0,0,0
5,-2.386905721504,0,0,0
6,-2.815234278153399,0,0,0
7,-3.091149928941129,0,0,0
8,-3.551175641138807,0,0,0
9,-3.676258673024798,0,0,0
10,-3.221083777536837,0,0,0
11,-2.759544421540514,0,0,0
12,-1.885420607318245,0,0,0
13,-0.7689359961927568,0,0,0
14,0.7746066668136743,3.668856620617281,0,1
15,1.921053754352303,3.668856620617281,0,1
16,2.919017975704938,3.668856620617281,0,1
17,4.109196547743821,3.668856620617281,0,1
18,4.41183934247275,3.668856620617281,0,1
19,4.69708902115084,3.668856620617281,0,1
20,4.299441221894968,3.668856620617281,0,1
21,3.742402247377421,3.668856620617281,0,1
22,2.855069189559234,3.668856620617281,0,1
23,1.47884931947205,3.668856620617281,0,1
24,0.8916839952966847,3.668856620617281,0,1
25,-0.5433384321797655,3.668856620617281,0,1
26,-0.8646559462177773,0,0,0
27,-2.170455532832319,0,0,0
28,-2.751032020837174,0,0,0
29,-3.016726398665594,0,0,0
30,-3.649283558259748,0,0,0
31,-3.173623331985097,0,0,0
32,-3.634858910562345,0,0,0
33,-2.932019404907678,0,0,0
34,-2.332629998355321,0,0,0
35,-1.643007816705873,0,1,0
36,-0.3090777244223188,0,1,0
37,1.291801707946778,3.668856620617281,1,1
38,2.726215264637407,3.668856620617281,1,1
39,3.599518955208704,3.668856620617281,1,1
40,4.270421517550995,3.668856620617281,1,1
41,4.735993155345414,3.668856620617281,1,1
42,4.831928850544612,3.668856620617281,1,1
43,4.130158768531774,3.668856620617281,1,1
44,3.246023556996365,3.668856620617281,1,1
45,2.009746840262039,3.668856620617281,0,1
