angle_deg,torque_nm,coil_current_a,active_eml,pulse_on
0,2.009746840262039,7.3377132412345611,0,1
1,1.427249892762566,7.3377132412345611,0,1
2,-0.05537551177937013,7.3377132412345611,0,1
3,-0.7166504894574273,0,0,0
4,-1.962191875670315,0,0,0
5,-2.389043802729883,0,0,0
6,-3.035426960300964,0,0,0
7,-3.073307593130734,0,0,0
8,-3.593203814023613,0,0,0
9,-3.683232133771316,0,0,0
10,-3.183971626241636,0,0,0
11,-2.78442837183249,0,0,0
12,-1.868190602378308,0,0,0
13,-0.8208129654118934,0,0,0
14,0.7356308623751787,7.3377132412345611,0,1
15,1.967392320792215,7.3377132412345611,0,1
16,3.11180069679388,7.3377132412345611,0,1
17,4.10375882748417,7.3377132412345611,0,1
18,4.407247662821691,7.3377132412345611,0,1
19,4.705473613134626,7.3377132412345611,0,1
20,4.295361605686678,7.3377132412345611,0,1
21,3.704365240051743,7.3377132412345611,0,1
22,2.859934083283296,7.3377132412345611,0,1
23,1.421314580662296,7.3377132412345611,0,1
24,0.9143670572213525,7.3377132412345611,0,1
25,-0.5984026912470651,7.3377132412345611,0,1
26,-0.907194217506586,0,0,0
27,-2.249331757930562,0,0,0
28,-2.759708766534431,0,0,0
29,-2.935581816853516,0,0,0
30,-3.443682466603492,0,0,0
31,-3.242865271953369,0,0,0
32,-3.64470528085621,0,0,0
33,-2.894903429165633,0,0,0
34,-2.455228524576567,0,0,0
35,-1.62279611077209,0,1,0
36,-0.2914384418679578,0,1,0
37,1.294316830693239,7.3377132412345611,1,1
38,2.749143198272025,7.3377132412345611,1,1
39,3.567579794308848,7.3377132412345611,1,1
40,4.275574843920778,7.3377132412345611,1,1
41,4.732856460451736,7.3377132412345611,1,1
42,4.887289536138262,7.3377132412345611,1,1
43,4.048695859815912,7.3377132412345611,1,1
44,3.32368952392943,7.3377132412345611,1,1
45,2.063291948524706,7.3377132412345611,0,1
