angle_deg,torque_nm
0,0.2533286186888266
1,2.138794748963487
2,4.296676260884281
3,5.625634582982601
4,6.159077105317071
5,6.118284482263281
6,5.559165671528662
7,4.781685798638006
8,2.983987644498222
9,2.250932955748754
10,1.234878999452028
11,0.07306548139409939
12,-0.4857326550194867
13,-1.437823368969624
14,-2.194951456480357
15,-3.39685851160954
16,-4.605174204623399
17,-5.912970276309065
18,-5.918394915676625
19,-5.677713015760288
20,-4.7291052835662
21,-3.221483821414105
22,-0.9626665986131481
23,1.136758273432024
24,3.724194770321275
25,4.949216727839489
26,5.851398602413631
27,6.177092048863132
28,5.845908047709107
29,5.277813319558556
30,4.211842029645551
31,2.563759151399642
32,1.674022280071356
33,0.5670000945164816
34,-0.04444577875460549
35,-0.8639052835625815
36,-1.886178525066376
37,-2.97058714743572
38,-4.561054581519808
39,-5.277471409170452
40,-6.110076149784783
41,-6.062637887125581
42,-5.444384494036864
43,-4.038842110482745
44,-2.191195507311011
45,0.3105368426725125
