angle_deg,torque_nm
0,0.1171298073401853
1,2.366405030282174
2,4.335925623406221
3,5.634509694349249
4,6.266967416116657
5,6.181545467626477
6,5.644203462673613
7,4.458459752762781
8,3.290542516684813
9,1.930211379236902
10,1.178353772652741
11,-0.01009976466302603
12,-0.560033104196473
13,-1.611898273282379
14,-2.621351296114034
15,-3.692902418920187
16,-4.632646880175988
17,-5.778129031006401
18,-6.168594145959986
19,-5.994899726581991
20,-4.773596194506844
21,-3.339119060305521
22,-0.859952067839589
23,1.209949659188303
24,3.327019834498246
25,4.707690393130619
26,5.91290836359556
27,6.27737654326524
28,6.078250003815078
29,5.164450427710801
30,4.076756879453565
31,2.631833718348006
32,1.552202207099795
33,0.7098440919951695
34,-0.001202116643898186
35,-0.8891102232465622
36,-2.205914228851693
37,-3.243933636596196
38,-4.343499300811454
39,-5.71245431070707
40,-6.17502916555807
41,-5.938214072697189
42,-5.742200307183172
43,-4.189825437277929
44,-2.118907359545939
45,0.1345644804773604
