angle_deg,torque_nm
0,-0.07230858442925099
1,2.233602158589997
2,3.984399636026903
3,5.483893301603742
4,6.322811746531181
5,6.282780985052467
6,5.341771599600088
7,4.406527743238383
8,3.106003692995452
9,1.962626753167131
10,1.029220987728224
11,-0.18907299624346
12,-0.5685926530240137
13,-1.463744510352183
14,-2.708339842512397
15,-3.750314643011892
16,-4.923409619318151
17,-5.86349491657477
18,-5.853760500259059
19,-5.951838361982533
20,-4.858244115390572
21,-3.250142192434111
22,-1.08232195313794
23,1.386820968249137
24,3.297054729820704
25,4.980899612443188
26,5.932326732224196
27,6.30865187349746
28,5.813811647462511
29,4.730488031512597
30,3.742757833208252
31,2.24087352510498
32,1.524273819014097
33,0.1711048332258114
34,-0.1464313535760567
35,-1.165525324182835
36,-2.267605990234943
37,-3.261173557252723
38,-4.338683555053999
39,-5.528550833253228
40,-6.072403244167477
41,-6.190379493773927
42,-5.487871358525489
43,-4.244132814858323
44,-2.046649824415434
45,0.1613632889793563
