angle_deg,torque_nm
0,0.2639510051372411
1,2.008493829951523
2,4.086551203604962
3,5.670704784280192
4,5.951482266615901
5,5.892660472027799
6,5.361356623695117
7,4.36291567475737
8,3.227824670591072
9,1.741527049367446
10,0.9961379509350952
11,0.1200996290542637
12,-0.8509755387005235
13,-1.476318746620232
14,-2.254464408043444
15,-3.389659163049426
16,-4.743107340414943
17,-5.681027165512191
18,-6.020821323841505
19,-5.993694202781946
20,-4.786857512592269
21,-3.281320313153755
22,-1.182133107383375
23,0.9771322320320744
24,3.315775668973127
25,4.894118500164391
26,6.066704618829753
27,6.340695784062254
28,5.95609642576433
29,4.837634080159898
30,3.985366998148754
31,2.22260499403431
32,1.587660597571392
33,0.7015891560721601
34,-0.1436364958717267
35,-1.181919214775782
36,-1.996203660336503
37,-3.034811751530639
38,-4.247733067415701
39,-5.122284810234473
40,-5.886068877224382
41,-5.953279798019952
42,-5.451241090976609
43,-3.985890523200432
44,-2.088801923853498
45,0.1170312908528404
