angle_deg,torque_nm
0,0.1682095465801548
0.5,2.453006781564215
1,4.34731742521131
1.5,6.64366775494597
2,8.313675643544681
2.5,10.43599122631607
3,12.30105641434153
3.5,13.85148699240585
4,15.26739054116363
4.5,16.18707737777535
5,17.00277971984983
5.5,17.67076011719194
6,17.9843425424332
6.5,17.78771217414565
7,17.3662407840849
7.5,15.88134667802446
8,14.6950215942727
8.5,13.80323025207396
9,11.47447868002485
9.5,9.354378988584495
10,7.383914177551104
10.5,4.580879320878908
11,1.843897388209433
11.5,-1.182457091754831
12,-4.079285628705848
12.5,-6.491856090922886
13,-9.231138171705274
13.5,-10.47956818241423
14,-13.15233153005936
14.5,-14.3842253643256
15,-16.36526922293205
15.5,-16.91636581905886
16,-17.09364598614224
16.5,-17.62658023387758
17,-17.31561449505913
17.5,-16.94215228293094
18,-16.1244762234881
18.5,-15.17323112250466
19,-13.70021088943938
19.5,-12.25280576482243
20,-10.13368882712699
20.5,-8.472603483172884
21,-6.248806992398212
21.5,-4.293868702764623
22,-2.219978271325593
22.5,-0.1601069073777725
23,2.171508836903649
23.5,4.361110518027493
24,6.799399422067653
24.5,8.585502977139692
25,10.6864081881415
25.5,12.40922851278584
26,13.88522638598683
26.5,15.17308538003485
27,16.3373670453037
27.5,16.86099878551228
28,17.68368466815605
28.5,17.66372673820049
29,17.80358962914845
29.5,17.2568422289246
30,16.16495644892093
30.5,14.43311230674475
31,13.54244834788048
31.5,11.68961706866387
32,9.709704203799896
32.5,7.422339806297197
33,4.901992455544214
33.5,1.581713762498396
34,-1.426562933521674
34.5,-3.931947946417532
35,-6.734852838343814
35.5,-9.12180737348803
36,-11.32607792489913
36.5,-12.97000484881164
37,-14.56236664937564
37.5,-16.0653188188859
38,-16.93458285854853
38.5,-17.24665316551729
39,-17.65808740505583
39.5,-17.45584528902095
40,-16.95395355118716
40.5,-16.25374387666134
41,-15.12226797050558
41.5,-13.32618479169037
42,-12.07023413274781
42.5,-10.27583761851753
43,-8.54659954031097
43.5,-6.363019891191713
44,-3.952558252135416
44.5,-1.807868197205391
45,0.02680887465200304
