angle_deg,torque_nm
0,0.1682095465801548
1,4.347516304101894
2,8.32082130028968
3,12.31339220445556
4,15.26778952076425
5,17.00308472156671
6,17.98540903867301
7,17.63868516618732
8,14.70514078119951
9,11.24866566358215
10,7.382416942150688
11,1.844719562509466
12,-4.078911594724392
13,-9.228518890405805
14,-13.15349032034344
15,-16.36593230878925
16,-17.25749695268029
17,-17.40218877211769
18,-16.07809624237169
19,-13.70182671638365
20,-10.31959856446448
21,-6.130693957201112
22,-1.906941327180014
23,2.174066398422935
24,6.813863039254914
25,10.69193040768994
26,13.88585011988638
27,16.32130049382652
28,17.68626281522963
29,17.80893466429085
30,16.00495984921991
31,13.54234356407971
32,9.710734146222077
33,4.902740040780429
34,-1.623807208645583
35,-6.74907477997061
36,-11.46778785978121
37,-14.56214803424291
38,-16.95413489623392
39,-17.65812144798387
40,-17.01968528117946
41,-15.0500411927294
42,-12.07238682325562
43,-8.541472559638546
44,-3.944408952304747
45,0.09755177126546892
