angle_deg,torque_nm
0,0.4936908713800045
0.25,0.782235756664052
0.5,1.391972759205238
0.75,1.813958097770178
1,2.239686605454778
1.25,2.926803033058405
1.5,3.360669202074758
1.75,3.902249208465437
2,4.450462534122209
2.25,4.822189148685917
2.5,4.967254438621524
2.75,5.365731894296953
3,5.85703957735913
3.25,6.041646551648336
3.5,6.179778256673392
3.75,6.19853928540638
4,6.41247329671137
4.25,6.521732847396173
4.5,6.600550841373699
4.75,6.103343514815246
5,6.460131257426376
5.25,6.16935663571085
5.5,6.065876306927677
5.75,5.727066696136302
6,5.544047213531091
6.25,5.115638514486893
6.5,5.019070137938935
6.75,4.71111186582471
7,4.439413490325381
7.25,4.215367210117604
7.5,4.302959772491472
7.75,3.260608569809828
8,3.462306348638523
8.25,2.875318791785669
8.5,2.594046028293765
8.75,2.54839305552905
9,2.161710980481718
9.25,2.209641572422775
9.5,1.882142613142022
9.75,1.477883350912454
10,1.532513355488951
10.25,1.539874390611352
10.5,0.7028302772512338
10.75,0.5261731559076668
11,0.3768523315335752
11.25,0.1107171909672367
11.5,-0.3563237228298822
11.75,-0.4341254278591827
12,-0.5234694910966956
12.25,-0.86699460114809
12.5,-0.8376895690444081
12.75,-1.629756132449586
13,-1.562602106566786
13.25,-1.937160333508873
13.5,-1.941907826189603
13.75,-2.531470508679327
14,-2.512198534459782
14.25,-2.790985802334691
14.5,-3.263128354062842
14.75,-3.288305887239054
15,-3.530531413551706
15.25,-3.908317904458463
15.5,-4.287432340639494
15.75,-4.475777353647911
16,-4.524677036247571
16.25,-5.15901575156567
16.5,-5.186007848756146
