angle_deg,torque_nm
0,0.4936908713800045
2,4.442913860121795
4,6.412247073857797
6,5.390301990838897
8,3.54430228781581
10,1.567006625968732
12,-0.5256057114443558
14,-2.501211946044878
16,-4.524459154718609
18,-6.173198039130031
20,-4.499480354020117
22,-0.7908172264329506
24,3.707506467744756
26,6.115647296552297
28,5.835898475749078
30,4.262349066014603
32,1.792953567239188
34,0.09278841664628411
36,-1.89476514806431
38,-4.031692221171451
40,-6.15326330189262
42,-5.328496236995265
44,-1.906263839711618
