angle_deg,torque_nm
0,-0.02172366157469651
1,2.021159836356208
2,3.449033236918371
3,4.756035605372779
4,5.465051522835167
5,5.151976767607872
6,4.488185521016703
7,3.275724157247915
8,2.383376192844092
9,1.387883190365564
10,0.5531492229493316
11,0.3330367188352996
12,-0.4545466301200157
13,-0.9708635956519015
14,-1.981626779832016
15,-2.893195535030579
16,-3.783785448168858
17,-4.867250708090584
18,-5.388021036804954
19,-4.891994878217217
20,-4.493903908971977
21,-2.598261109467566
22,-1.026544079936511
23,1.045792207668369
24,2.638410004469739
25,4.123919253909506
26,5.120453994994543
27,5.173032667782556
28,4.750412440580634
29,3.857739709367496
30,3.072150583242374
31,1.846969469957428
32,1.130898811865758
33,0.4375410447888288
34,-0.09627372395872806
35,-0.5265281184148717
36,-1.456831758348554
37,-2.271123336158256
38,-3.251431487822456
39,-4.022447902985109
40,-4.89240909933862
41,-5.372084335335538
42,-4.699273326903859
43,-3.610876216716599
44,-2.111463715960796
45,0.1764351304322609
