angle_deg,torque_nm
0,-0.2060861885675639
1,2.07361168929961
2,3.962293297374602
3,5.353495594718062
4,5.785696012438871
5,5.609578241881529
6,4.779953630006436
7,3.797399550660433
8,2.753076511047121
9,1.575433378383166
10,0.8081838540182814
11,0.1640267757845197
12,-0.4589501090745883
13,-1.159563410459646
14,-2.160760263471723
15,-3.248295413973557
16,-4.217159764515248
17,-5.169503312768078
18,-5.890874894608693
19,-5.749428360137628
20,-4.691248227971189
21,-3.166356544445548
22,-1.194587750535482
23,1.121557167302452
24,3.088873846624892
25,4.717383783328124
26,5.500918910089928
27,5.696907636208271
28,5.157184048478344
29,4.342111858737869
30,3.206224016520233
31,2.051883039873686
32,1.214633158344077
33,0.535269310966165
34,-0.009954168593551369
35,-0.7963603944432801
36,-1.58779185344434
37,-2.634751370663601
38,-3.763534990648782
39,-4.92047342100377
40,-5.536435084668482
41,-5.803523047786236
42,-5.19610717581931
43,-3.984567401571634
44,-2.162208877882799
45,-0.09256598410404154
