angle_deg,torque_nm
0,0.00200347662750916
1,2.18755209207622
2,4.180724545758533
3,5.441074488720195
4,6.01645289789839
5,5.896915981931455
6,5.218917706938137
7,4.174052261486969
8,2.960467051126974
9,1.86015848473938
10,0.9897185532012823
11,0.1613282016651441
12,-0.571189539986473
13,-1.365572527724407
14,-2.420266903535747
15,-3.587809445751527
16,-4.724647532280304
17,-5.600048326270871
18,-6.021425604485773
19,-5.830554008870242
20,-4.869589213014115
21,-3.243677092870114
22,-1.141706253912045
23,1.138058045205365
24,3.263864051851336
25,4.870033448917979
26,5.797068607458336
27,6.073576988898679
28,5.622079364390469
29,4.738150222668284
30,3.598488009191638
31,2.421111506508692
32,1.386073662879367
33,0.5453451417821944
34,-0.1718865979110399
35,-0.9592533336625214
36,-1.90864520688351
37,-2.994552385845538
38,-4.200200120424712
39,-5.222366885427901
40,-5.931208390808692
41,-6.058833835818003
42,-5.455442995708121
43,-4.102252769372632
44,-2.258815115895099
45,0.02061434176085495
