label,csv,angle_span_deg,screen_status,work_period_j,full_rev_equiv_j,average_torque_nm,peak_positive_nm,peak_positive_deg,peak_negative_nm,peak_negative_deg,positive_gross_work_j,negative_gross_work_abs_j,gross_work_j,net_to_gross_ratio,cancellation_ratio,closure_delta_nm,decision
opt gap 159p0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_159p0_period45_step1.csv,45.0,complete_period,0.18568850489698113,1.485508039175849,0.2364259474375853,4.933966361996546,42.0,-3.739191844257604,9.0,1.1183578674530692,0.9326693625560883,2.0510272300091574,0.09053439280577083,0.9094656071942293,0.038810029167126725,HOLD_FOR_NEARBY_VARIANTS
opt opt stator inner gap plus1mm,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_stator_inner_gap_plus1mm_period45_step1.csv,45.0,complete_period,0.18568850489698113,1.485508039175849,0.2364259474375853,4.933966361996546,42.0,-3.739191844257604,9.0,1.1183578674530692,0.9326693625560883,2.0510272300091574,0.09053439280577083,0.9094656071942293,0.038810029167126725,HOLD_FOR_NEARBY_VARIANTS
opt combo gap159 halbach15,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_combo_gap159_halbach15_period45_step1.csv,45.0,complete_period,0.17657445133724922,1.4125956106979938,0.22482157403250036,6.38615893686131,42.0,-5.166003407065816,9.0,1.0624218747286889,0.88584742339144,1.9482692981201288,0.09063143966166518,0.909368560338335,0.04133186490990015,HOLD_FOR_NEARBY_VARIANTS
torque angle arc10 offset0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_torque_angle_arc10_offset0_period45_step1.csv,45.0,complete_period,0.1745452354519319,1.3963618836154552,0.22223789612250955,6.597095225784451,27.0,-6.206311418483044,18.0,1.4957520191885953,1.3212067837366637,2.8169588029252592,0.06196229610126926,0.9380377038987309,0.0033891740760023104,HOLD_FOR_NEARBY_VARIANTS
asym b eml offset pos12,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos12_period45_step1.csv,45.0,complete_period,0.14482255773834068,1.1585804619067255,0.1843938074821467,4.849366573955861,18.0,-3.954360427604679,32.0,1.1651251928505875,1.0203026351122466,2.185427827962834,0.06626737148915063,0.9337326285108493,-0.04078626975730382,HOLD_FOR_NEARBY_VARIANTS
asym b eml offset neg6,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_neg6_period45_step1.csv,45.0,complete_period,0.13901921889887456,1.1121537511909965,0.17700476698024098,5.019872706544025,45.0,-3.990632450965469,14.0,1.170513601933825,1.0314943830349506,2.2020079849687755,0.06313293132806048,0.9368670686719396,0.1693754099139042,HOLD_FOR_NEARBY_VARIANTS
opt opt eml arc minus20pct,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_eml_arc_minus20pct_period45_step1.csv,45.0,complete_period,0.1337871927802612,1.0702975422420895,0.1703431444269352,3.000837655088743,40.0,-1.467281724905621,10.0,0.5280867083403511,0.3942995155600899,0.922386223900441,0.14504465625529733,0.8549553437447026,0.14752122403502577,HOLD_FOR_NEARBY_VARIANTS
asym b eml offset neg12,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_neg12_period45_step1.csv,45.0,complete_period,0.13339965000292195,1.0671972000233756,0.1698497096375504,4.895023775749918,16.0,-3.887606644451739,9.0,1.1715941906363836,1.038194540633462,2.2097887312698457,0.06036760352482403,0.9396323964751762,-0.005990856562893443,HOLD_FOR_NEARBY_VARIANTS
asym b eml offset pos18,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos18_period45_step1.csv,45.0,complete_period,0.12162315069878782,0.9729852055903025,0.15485540502498069,4.97645599527701,25.0,-3.936392060947676,38.0,1.1705699527416142,1.0489468020428268,2.2195167547844408,0.05479713114875758,0.9452028688512426,-0.028139178110064833,WEAK_POSITIVE_DO_NOT_PROMOTE
asym b,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_period45_step1.csv,45.0,complete_period,0.11896223100141617,0.9516978480113294,0.15146741684092238,5.044163222425373,7.0,-3.994061657560415,20.0,1.1627591760611902,1.043796945059774,2.206556121120964,0.05391307742536889,0.9460869225746311,-0.03553683162217114,WEAK_POSITIVE_DO_NOT_PROMOTE
opt opt eml arc minus10pct,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_eml_arc_minus10pct_period45_step1.csv,45.0,complete_period,0.118936044851499,0.951488358811992,0.15143407559932348,4.170734283955307,18.0,-2.781342912786952,32.0,0.8482154003889719,0.7292793555374728,1.5774947559264447,0.07539552471072984,0.9246044752892701,0.009513446014669968,WEAK_POSITIVE_DO_NOT_PROMOTE
torque angle,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_torque_angle_period45_step1.csv,45.0,complete_period,0.11286595235521793,0.9029276188417434,0.14370539379285824,17.98540903867301,6.0,-17.65812144798387,39.0,4.450537188525076,4.337671236169858,8.788208424694934,0.01284288525042985,0.9871571147495701,-0.07065777531468588,WEAK_POSITIVE_DO_NOT_PROMOTE
