label,csv,angle_span_deg,screen_status,work_period_j,full_rev_equiv_j,average_torque_nm,peak_positive_nm,peak_positive_deg,peak_negative_nm,peak_negative_deg,positive_gross_work_j,negative_gross_work_abs_j,gross_work_j,net_to_gross_ratio,cancellation_ratio,closure_delta_nm,decision
gap 159.0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_159p0_period45_step1.csv,45.0,complete_period,0.18568850489698113,1.485508039175849,0.2364259474375853,4.933966361996546,42.0,-3.739191844257604,9.0,1.1183578674530692,0.9326693625560883,2.0510272300091574,0.09053439280577083,0.9094656071942293,0.038810029167126725,HOLD_FOR_NEARBY_VARIANTS
gap+1mm legacy,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_stator_inner_gap_plus1mm_period45_step1.csv,45.0,complete_period,0.18568850489698113,1.485508039175849,0.2364259474375853,4.933966361996546,42.0,-3.739191844257604,9.0,1.1183578674530692,0.9326693625560883,2.0510272300091574,0.09053439280577083,0.9094656071942293,0.038810029167126725,HOLD_FOR_NEARBY_VARIANTS
gap159 + Halbach15,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_combo_gap159_halbach15_period45_step1.csv,45.0,complete_period,0.17657445133724922,1.4125956106979938,0.22482157403250036,6.38615893686131,42.0,-5.166003407065816,9.0,1.0624218747286889,0.88584742339144,1.9482692981201288,0.09063143966166518,0.909368560338335,0.04133186490990015,HOLD_FOR_NEARBY_VARIANTS
ASYM_B +12 offset,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos12_period45_step1.csv,45.0,complete_period,0.14482255773834068,1.1585804619067255,0.1843938074821467,4.849366573955861,18.0,-3.954360427604679,32.0,1.1651251928505875,1.0203026351122466,2.185427827962834,0.06626737148915063,0.9337326285108493,-0.04078626975730382,HOLD_FOR_NEARBY_VARIANTS
EML arc -20%,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_eml_arc_minus20pct_period45_step1.csv,45.0,complete_period,0.1337871927802612,1.0702975422420895,0.1703431444269352,3.000837655088743,40.0,-1.467281724905621,10.0,0.5280867083403511,0.3942995155600899,0.922386223900441,0.14504465625529733,0.8549553437447026,0.14752122403502577,HOLD_FOR_NEARBY_VARIANTS
gap159 + arc -10%,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_combo_gap159_arc10_period45_step1.csv,45.0,complete_period,0.11206518914625888,0.896521513170071,0.14268583040924254,3.711065541235734,42.0,-2.461631118867438,33.0,0.760941914672162,0.648876725525903,1.409818640198065,0.07948908175204356,0.9205109182479564,0.11367425019993838,WEAK_POSITIVE_DO_NOT_PROMOTE
gap 159.5,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_159p5_period45_step1.csv,45.0,complete_period,0.1042934612896034,0.8343476903168272,0.13279055917122895,4.557639110768105,19.0,-3.812398177623705,9.0,1.0567721701040784,0.952478708814475,2.0092508789185537,0.051906639625678624,0.9480933603743213,0.123257614197263,WEAK_POSITIVE_DO_NOT_PROMOTE
gap159 + arc -20%,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_combo_gap159_arc20_period45_step1.csv,45.0,complete_period,0.06717536368949595,0.5374029095159676,0.0855303294814328,2.479455315841475,18.0,-1.31685161700899,11.0,0.45853038601725965,0.39135502232776354,0.8498854083450231,0.07904049537726049,0.9209595046227393,-0.0011806811295172748,WEAK_POSITIVE_DO_NOT_PROMOTE
gap 160.0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_160p0_period45_step1.csv,45.0,complete_period,0.03266791478841649,0.26134331830733193,0.041594080952650506,4.335045662356793,41.0,-3.917065462380235,31.0,0.9466467165187133,0.9139788017302969,1.8606255182490101,0.017557490461143133,0.9824425095388569,0.0671018350708481,WEAK_POSITIVE_DO_NOT_PROMOTE
gap 161.0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_161p0_period45_step1.csv,45.0,complete_period,0.028061777082996363,0.2244942166639709,0.03572936427761391,3.792646400358474,18.0,-3.703626775320862,32.0,0.917833012338007,0.8897712352550108,1.8076042475930176,0.0155242925105775,0.9844757074894226,0.05746442380533301,WEAK_POSITIVE_DO_NOT_PROMOTE
gap 158.5,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_158p5_period45_step1.csv,45.0,complete_period,0.012630855347855324,0.1010468427828426,0.01608210451271901,5.919815144811334,41.0,-4.299996785181957,9.0,1.1518252536450049,1.1391943982971493,2.291019651942154,0.00551320253283198,0.994486797467168,-0.00227350546446492,WEAK_POSITIVE_DO_NOT_PROMOTE
